paper number,DOI,year,deposited_material (accurate),deposited_material,deposited_material(elements),RE,WE,WE(element),Electrolyte,El_conc,A_concentration,scan_rate,pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),current_density,onset_pot,ox_pot,ox_onset
85,https://doi.org/10.1021/acs.jpcc.6b00295,2016,Pt9Bi1/C,Pt_Bi_C,Pt_Bi_C,RHE,GCD,C,NaOH,1,"0,1",5,"12,71","0,364","0,827","23,054","-0,38589","0,0771099999999999","0,463"
86,https://doi.org/10.1016/j.electacta.2015.12.222,2016,Pt/RGO,Pt_rGO,Pt_O_C,SCE,GCE,C,NaOH,"0,5","0,1",50,"12,83","-0,529","-0,18","19,6","-0,285","0,064","0,349"
86,https://doi.org/10.1016/j.electacta.2015.12.222,2016,Au/RGO,Au_rGO,Au_O_C,SCE,GCE,C,NaOH,"0,5","0,1",50,"12,83","-0,452","0,17","45,1","-0,208","0,414","0,622"
87,https://doi.org/10.17576/mjas-2019-2301-09,2018,Pd2Au1,Pd_Au,Pd_Au,Ag/AgCl,GCE,C,NaOH,"0,5","0,5",50,"13,56","-0,4152","0,029","55,28","-0,2162","0,228","0,4442"
88,https://doi.org/10.1016/j.ijhydene.2016.09.138,2016,Pd3Mo/VC,Pd_Mo_VC,Pd_Mo_C,Ag/AgCl,GCE,C,KOH,1,"0,1",10,"12,71","-0,382","-0,161","182,6","-0,183","0,038","0,221"
89,https://doi.org/10.1016/j.apcatb.2017.02.082,2017,PdAg3/CNT,Pd_Ag_CNT,Pd_Ag_C,Hg/HgO,GCE,C,KOH,1,"0,1",50,"12,71","-0,44","0,052","35,132","-0,58","-0,088","0,492"
89,https://doi.org/10.1016/j.apcatb.2017.02.082,2017,Pd/CNT,Pd_CNT,Pd_C,Hg/HgO,GCE,C,KOH,1,"0,1",50,"12,71","-0,35","0,003","11,866","-0,49","-0,137","0,353"
90,https://doi.org/10.1016/j.ijhydene.2014.10.144,2015,Pd(DBA)2,Pd_C_H_O,Pd_C_H_O,NHE,GCE,C,KOH,"1,96","0,5603",50,"13,33","-0,35","0,08","15,8","-0,35","0,08","0,43"
91,https://doi.org/10.1016/j.ijhydene.2019.01.090,2019,Pt0.24Cu0.76/C,Pt_Cu_C,Pt_Cu_C,RHE,GCE,C,NaOH,"0,1",1,50,"13,98","0,45","0,89","97,76","-0,37482","0,06518","0,44"
92,https://doi.org/10.1016/j.electacta.2016.04.024,2016,Pd/Cu/NPSS,Pd_Cu,Pd_Cu,SCE,NPSS,Fe,KOH,1,"0,5603",50,"13,5","-0,42","-0,18","14,629","-0,176","0,064","0,24"
